"","ObserveDate","WGS84Lon","WGS84Lat","engCounty","FamilyCommon","date"
"77","2013-12-15",120.466483,23.5698,"Chiayi County","Typical Snakes","2013-12-15"
"78","2013-12-15",120.462683,23.5708,"Chiayi County","Typical Snakes","2013-12-15"
"79","2013-12-15",120.52125,23.566333,"Chiayi County","Pit Vipers","2013-12-15"
"80","2013-12-15",120.4547,23.5729,"Chiayi County","Shrews","2013-12-15"
"81","2013-12-15",120.488383,23.5741,"Chiayi County","Softshell Turtles","2013-12-15"
"82","2013-12-15",120.488383,23.5741,"Chiayi County","Softshell Turtles","2013-12-15"
"83","2013-12-15",120.431117,23.569833,"Chiayi County","Skinks","2013-12-15"
"84","2013-12-15",120.515517,23.56265,"Chiayi County","Bufonids","2013-12-15"
"85","2013-12-15",120.52125,23.566333,"Chiayi County","Typical Snakes","2013-12-15"
"86","2013-12-14",120.774077,23.754377,"Nantou County","Rats","2013-12-14"
"87","2013-12-14",120.50345,23.479533,"Chiayi City","Bufonids","2013-12-14"
"88","2013-12-14",120.350499,23.353533,"Yunlin County","Typical Snakes","2013-12-14"
"89","2013-12-13",121.180083,23.130778,"Taitung County","Buttonquails","2013-12-13"
"90","2013-12-13",120.336563,23.244268,"Tainan City","Doves","2013-12-13"
"91","2013-12-13",120.336267,23.243537,"Tainan City","Doves","2013-12-13"
"92","2013-12-13",121.182222,23.130944,"Taitung County","Pit Vipers","2013-12-13"
"93","2013-12-12",120.302004,23.297051,"Tainan City","Waxbills","2013-12-12"
"94","2013-12-11",120.4661,23.53885,"Chiayi County","Buttonquails","2013-12-11"
"95","2013-12-11",120.462183,23.538783,"Chiayi County","Buttonquails","2013-12-11"
"96","2013-12-11",120.462183,23.538783,"Chiayi County","Shrews","2013-12-11"
"97","2013-12-11",120.462183,23.538783,"Chiayi County","Doves","2013-12-11"
"98","2013-12-11",120.462183,23.538783,"Chiayi County","Doves","2013-12-11"
"99","2013-12-11",120.4661,23.53885,"Chiayi County","Perching Birds","2013-12-11"
"100","2013-12-11",120.4661,23.53885,"Chiayi County","Perching Birds","2013-12-11"
"101","2013-12-11",120.4661,23.53885,"Chiayi County","Perching Birds","2013-12-11"
"102","2013-12-11",120.4661,23.53885,"Chiayi County","Perching Birds","2013-12-11"
"103","2013-12-11",120.4661,23.53885,"Chiayi County","Perching Birds","2013-12-11"
"104","2013-12-11",120.4661,23.53885,"Chiayi County","Perching Birds","2013-12-11"
"105","2013-12-11",121.001931,24.70559,"Hsinchu County","Typical Owls","2013-12-11"
"106","2013-12-11",120.472983,23.057733,"Tainan City","Bufonids","2013-12-11"
"107","2013-12-11",120.462183,23.538783,"Chiayi County","Bufonids","2013-12-11"
"108","2013-12-11",120.45945,23.538983,"Chiayi County","Rats","2013-12-11"
"109","2013-12-10",121.4834,25.1164,"Taipei City","Rats","2013-12-10"
"110","2013-12-10",120.305095,23.273038,"Tainan City","Vespertilionid bats","2013-12-10"
"111","2013-12-10",121.00948,22.61777,"Taitung County","Typical Owls","2013-12-10"
"112","2013-12-09",120.4823,23.5929,"Chiayi County","Typical Snakes","2013-12-09"
"113","2013-12-09",120.4501,23.56575,"Chiayi County","Typical Snakes","2013-12-09"
"114","2013-12-09",120.4501,23.56575,"Chiayi County","Buttonquails","2013-12-09"
"115","2013-12-09",120.525133,23.553033,"Chiayi County","Shrews","2013-12-09"
"116","2013-12-09",120.525133,23.553033,"Chiayi County","Doves","2013-12-09"
"117","2013-12-09",120.464633,23.57755,"Chiayi County","Rats","2013-12-09"
"118","2013-12-09",120.525133,23.553033,"Chiayi County","Bulbuls","2013-12-09"
"119","2013-12-09",120.525133,23.553033,"Chiayi County","Pit Vipers","2013-12-09"
"120","2013-12-09",120.512317,23.565167,"Chiayi County","Pit Vipers","2013-12-09"
"121","2013-12-09",120.491417,23.57635,"Chiayi County","Pit Vipers","2013-12-09"
"122","2013-12-09",120.491417,23.57635,"Chiayi County","Softshell Turtles","2013-12-09"
"123","2013-12-09",120.491417,23.57635,"Chiayi County","Softshell Turtles","2013-12-09"
"124","2013-12-09",120.525133,23.553033,"Chiayi County","Perching Birds","2013-12-09"
"125","2013-12-09",120.525133,23.553033,"Chiayi County","Typical Snakes","2013-12-09"
"126","2013-12-09",120.508667,23.573033,"Chiayi County","Typical Snakes","2013-12-09"
"127","2013-12-09",120.515572,23.871468,"Changhua County","Shrikes","2013-12-09"
"128","2013-12-09",120.512317,23.565167,"Chiayi County","Lizards","2013-12-09"
"129","2013-12-09",120.512317,23.565167,"Chiayi County","Typical Snakes","2013-12-09"
"130","2013-12-09",120.567635,22.60146,"Pingtung County","Bufonids","2013-12-09"
"131","2013-12-09",120.525133,23.553033,"Chiayi County","Bufonids","2013-12-09"
"132","2013-12-09",120.485917,23.572383,"Chiayi County","Old World Flycatchers","2013-12-09"
"133","2013-12-09",120.525133,23.553033,"Chiayi County","Typical Snakes","2013-12-09"
"134","2013-12-08",121.13943,22.975792,"Taitung County","Perching Birds","2013-12-08"
"135","2013-12-08",121.211556,23.1335,"Taitung County","Perching Birds","2013-12-08"
"136","2013-12-08",120.383017,23.59245,"Chiayi County","Doves","2013-12-08"
"137","2013-12-08",120.383017,23.59245,"Chiayi County","Doves","2013-12-08"
"138","2013-12-08",120.703509,23.030036,"Kaohsiung County","Typical Owls","2013-12-08"
"139","2013-12-08",120.382208,23.237296,"Tainan City","Typical Snakes","2013-12-08"
"140","2013-12-08",120.75296,23.06787,"Kaohsiung County","Rats","2013-12-08"
"141","2013-12-08",121.34765,24.387113,"Taichung City","Mustelids","2013-12-08"
"142","2013-12-08",120.501072,23.225491,"Tainan City","Lizards","2013-12-08"
"143","2013-12-08",120.383017,23.59245,"Chiayi County","Perching Birds","2013-12-08"
"144","2013-12-08",120.570343,23.38069,"Chiayi County","Bitterns","2013-12-08"
"145","2013-12-08",120.379879,23.233855,"Tainan City","Typical Snakes","2013-12-08"
"146","2013-12-07",120.39985,23.530517,"Chiayi County","Doves","2013-12-07"
"147","2013-12-07",120.39985,23.530517,"Chiayi County","Perching Birds","2013-12-07"
"148","2013-12-07",121.153612,24.651711,"Hsinchu County","Rats","2013-12-07"
"149","2013-12-07",120.402067,23.468217,"Chiayi City","Typical Snakes","2013-12-07"
"150","2013-12-07",120.39985,23.530517,"Chiayi County","Coots","2013-12-07"
"151","2013-12-07",120.3807,23.504383,"Chiayi County","Coots","2013-12-07"
"152","2013-12-07",120.39985,23.530517,"Chiayi County","Skinks","2013-12-07"
"153","2013-12-06",120.326036,23.18638,"Tainan City","Typical Snakes","2013-12-06"
"154","2013-12-06",120.54654,22.611443,"Pingtung County","Buttonquails","2013-12-06"
"155","2013-12-06",120.55294,22.609335,"Pingtung County","Shrews","2013-12-06"
"156","2013-12-06",120.327318,23.528473,"Chiayi County","Perching Birds","2013-12-06"
"157","2013-12-06",121.544027,25.152328,"Taipei City","Cachorro do mato","2013-12-06"
"158","2013-12-06",120.78121,23.78914,"Nantou County","Typical Owls","2013-12-06"
"159","2013-12-06",120.550606,22.609241,"Pingtung County","Skinks","2013-12-06"
"160","2013-12-06",121.177028,23.129306,"Taitung County","Cobras","2013-12-06"
"161","2013-12-06",121.173944,23.127667,"Taitung County","Rats","2013-12-06"
"162","2013-12-05",121.30805,24.37855,"Taichung City","Perching Birds","2013-12-05"
"163","2013-12-05",120.337536,23.245616,"Tainan City","Doves","2013-12-05"
"164","2013-12-05",120.337273,23.244727,"Tainan City","Doves","2013-12-05"
"165","2013-12-05",120.416067,23.56335,"Chiayi County","Rats","2013-12-05"
"166","2013-12-05",120.416067,23.56335,"Chiayi County","Cobras","2013-12-05"
"167","2013-12-05",120.122886,23.019182,"Tainan City","Rats","2013-12-05"
"168","2013-12-04",120.330946,23.570617,"Chiayi County","Typical Snakes","2013-12-04"
"169","2013-12-04",120.78132,21.948922,"Pingtung County","Perching Birds","2013-12-04"
"170","2013-12-04",120.329536,23.552768,"Chiayi County","Doves","2013-12-04"
"171","2013-12-04",120.327811,23.537196,"Chiayi County","Doves","2013-12-04"
"172","2013-12-04",120.327172,23.526381,"Chiayi County","Doves","2013-12-04"
"173","2013-12-04",120.324981,23.481196,"Chiayi County","Doves","2013-12-04"
"174","2013-12-04",120.86334,24.15912,"Taichung City","Pit Vipers","2013-12-04"
"175","2013-12-04",120.330946,23.570617,"Chiayi County","Perching Birds","2013-12-04"
"176","2013-12-04",120.327323,23.529175,"Chiayi County","Perching Birds","2013-12-04"
"177","2013-12-04",120.325304,23.48732,"Chiayi County","Perching Birds","2013-12-04"
"178","2013-12-04",120.325177,23.484629,"Chiayi County","Perching Birds","2013-12-04"
"179","2013-12-04",121.5752,24.95149,"New Taipei City","Mustelids","2013-12-04"
"180","2013-12-04",120.92807,24.17921,"Taichung City","Mustelids","2013-12-04"
"181","2013-12-04",120.92251,22.1,"Pingtung County","Woodpeckers","2013-12-04"
"182","2013-12-04",120.325267,23.485195,"Chiayi County","Shrikes","2013-12-04"
"183","2013-12-04",120.327926,23.540483,"Chiayi County","Perching Birds","2013-12-04"
"184","2013-12-04",120.318606,23.350268,"Tainan City","Drongos","2013-12-04"
"185","2013-12-04",120.86963,24.14734,"Taichung City","Typical Snakes","2013-12-04"
"186","2013-12-04",121.017574,24.68937,"Hsinchu County","Shrews","2013-12-04"
"187","2013-12-04",120.323779,23.454723,"Chiayi County","Doves","2013-12-04"
"188","2013-12-04",120.323552,23.451313,"Chiayi County","Doves","2013-12-04"
"189","2013-12-04",120.32307,23.443289,"Chiayi County","Perching Birds","2013-12-04"
"190","2013-12-04",120.86259,24.16394,"Taichung City","Squirrels","2013-12-04"
"191","2013-12-04",120.327153,23.525508,"Chiayi County","Starlings","2013-12-04"
"192","2013-12-04",120.323403,23.451987,"Chiayi County","Starlings","2013-12-04"
"193","2013-12-03",120.901534,22.458549,"Taitung County","Pit Vipers","2013-12-03"
"194","2013-12-03",120.493642,23.878951,"Changhua County","Cachorro do mato","2013-12-03"
"195","2013-12-03",121.207361,23.136556,"Taitung County","Pit Vipers","2013-12-03"
"196","2013-12-02",120.4147,23.568717,"Chiayi County","Doves","2013-12-02"
"197","2013-12-02",120.33707,23.244572,"Tainan City","Doves","2013-12-02"
"198","2013-12-02",120.60935,23.444183,"Chiayi County","Amphisbaenians","2013-12-02"
"199","2013-12-02",120.291459,23.294919,"Tainan City","Bitterns","2013-12-02"
"200","2013-12-02",120.408783,23.586033,"Chiayi County","Perching Birds","2013-12-02"
"201","2013-12-02",120.60935,23.444183,"Chiayi County","Typical Snakes","2013-12-02"
"202","2013-12-01",120.322349,23.264761,"Tainan City","Doves","2013-12-01"
"203","2013-12-01",120.588667,23.474367,"Chiayi County","Pipits","2013-12-01"
"204","2013-12-01",121.226361,23.116167,"Taitung County","Mustelids","2013-12-01"
"205","2013-12-01",120.322363,23.265477,"Tainan City","Perching Birds","2013-12-01"
"206","2013-12-01",121.526832,23.589337,"Hualien County","Anis","2013-12-01"
"207","2013-11-30",120.58725,23.482817,"Chiayi County","Typical Snakes","2013-11-30"
"208","2013-11-30",120.321437,23.250333,"Tainan City","Tortues","2013-11-30"
"209","2013-11-30",120.756866,23.070355,"Kaohsiung County","Shrews","2013-11-30"
"210","2013-11-30",121.604413,24.039412,"Hualien County","Rats","2013-11-30"
"211","2013-11-30",120.578367,23.47885,"Chiayi County","Typical Snakes","2013-11-30"
"212","2013-11-29",121.182383,23.951104,"Nantou County","Perching Birds","2013-11-29"
"213","2013-11-28",120.322601,23.277881,"Tainan City","Doves","2013-11-28"
"214","2013-11-28",120.322601,23.277881,"Tainan City","Doves","2013-11-28"
"215","2013-11-28",120.322547,23.276794,"Tainan City","Doves","2013-11-28"
"216","2013-11-28",120.322525,23.276404,"Tainan City","Doves","2013-11-28"
"217","2013-11-26",120.453767,23.568883,"Chiayi County","Buttonquails","2013-11-26"
"218","2013-11-26",120.464067,23.570733,"Chiayi County","Pond turtles","2013-11-26"
"219","2013-11-26",120.49245,23.5891,"Chiayi County","Shrews","2013-11-26"
